filename,avg_r,avg_g,avg_b
040820_200804.jpg,149.6723634720594,134.5140600576397,129.49617098964438
bgr_040820_200804.jpg,129.49617098964438,134.5140600576397,149.6723634720594
enh_040820_200804.jpg,143.53225503126222,122.83564624853459,113.06904796795624
rot_90_040820_200804.jpg,149.6723634720594,134.5140600576397,129.49617098964438
rot_180_040820_200804.jpg,149.6723634720594,134.5140600576397,129.49617098964438
gray_040820_200804.jpg,138.47981511332551,138.47981511332551,138.47981511332551
040820_200804_0.jpg,146.68781567506838,129.86199626318876,129.68549909632668
bgr_040820_200804_0.jpg,129.68549909632668,129.86199626318876,146.68781567506838
enh_040820_200804_0.jpg,141.7454382815553,120.12088828644002,116.57630483098866
rot_90_040820_200804_0.jpg,146.68781567506838,129.86199626318876,129.68549909632668
rot_180_040820_200804_0.jpg,146.68781567506838,129.86199626318876,129.68549909632668
gray_040820_200804_0.jpg,134.87491879152012,134.87491879152012,134.87491879152012
040820_200804_1.jpg,139.52896086036844,139.86107922209248,136.46762016189308
bgr_040820_200804_1.jpg,136.46762016189308,139.86107922209248,139.52896086036844
enh_040820_200804_1.jpg,145.08314973400488,145.05385912761415,136.9039523113975
rot_90_040820_200804_1.jpg,139.52896086036844,139.86107922209248,136.46762016189308
rot_180_040820_200804_1.jpg,139.52896086036844,139.86107922209248,136.46762016189308
gray_040820_200804_1.jpg,139.39996116324627,139.39996116324627,139.39996116324627
040820_200804_10.jpg,189.05919210356555,208.4035743607788,226.50150214539838
bgr_040820_200804_10.jpg,226.50150214539838,208.4035743607788,189.05919210356555
enh_040820_200804_10.jpg,170.57901871237002,201.76274471713973,220.69126849734147
rot_90_040820_200804_10.jpg,189.05919210356555,208.4035743607788,226.50150214539838
rot_180_040820_200804_10.jpg,189.05919210356555,208.4035743607788,226.50150214539838
gray_040820_200804_10.jpg,204.68341140335446,204.68341140335446,204.68341140335446
040820_200804_11.jpg,119.00076923956809,132.09508544564423,134.89183319225842
bgr_040820_200804_11.jpg,134.89183319225842,132.09508544564423,119.00076923956809
enh_040820_200804_11.jpg,102.21042991627013,118.54858362692167,124.01481858528551
rot_90_040820_200804_11.jpg,119.00076923956809,132.09508544564423,134.89183319225842
rot_180_040820_200804_11.jpg,119.00076923956809,132.09508544564423,134.89183319225842
gray_040820_200804_11.jpg,128.50334576317715,128.50334576317715,128.50334576317715
040820_200804_12.jpg,102.39862766517203,114.27650587939239,114.6307020955344
bgr_040820_200804_12.jpg,114.6307020955344,114.27650587939239,102.39862766517203
